,Name,BuildingCount,Area(km2),BuildingDensity,geometry
0,Fifth District,132.0,2.5421957439082696,51.923617729399744,"MULTIPOLYGON (((31.5875065 30.060115, 31.587984 30.0591446, 31.5897381 30.055667, 31.5905388 30.054054, 31.5917704 30.0515729, 31.5917815 30.0515506, 31.5924646 30.0501744, 31.5925898 30.0499178, 31.592733 30.0496677, 31.5929064 30.0494643, 31.5930698 30.0492834, 31.5932867 30.0490434, 31.5881046 30.0459879, 31.5819437 30.0424124, 31.5788377 30.0406129, 31.5771759 30.0396733, 31.5767971 30.0400963, 31.5764471 30.0405914, 31.5762734 30.0408318, 31.5761192 30.0410813, 31.5758738 30.0414941, 31.5756619 30.0419317, 31.575458 30.042352, 31.5752542 30.0428117, 31.5750772 30.0432993, 31.5747794 30.0443371, 31.574648 30.0450245, 31.5745756 30.0455305, 31.5745488 30.0460135, 31.5745327 30.0464627, 31.5745622 30.0469074, 31.5745997 30.0473728, 31.5746601 30.0478383, 31.5747821 30.0486533, 31.5748465 30.0492337, 31.574876 30.0498327, 31.5748814 30.0505826, 31.5748197 30.0515508, 31.5747634 30.052101, 31.5746749 30.0526234, 31.5745756 30.0531713, 31.5744549 30.0537122, 31.5742591 30.0543925, 31.5738855 30.0554415, 31.5749055 30.0557482, 31.5768367 30.0563264, 31.5795806 30.0571528, 31.5802404 30.0573594, 31.5806347 30.0575079, 31.5821957 30.0581, 31.5875065 30.060115)))"
1,Fourth District,43.0,3.221180601804372,13.34914285026837,"MULTIPOLYGON (((31.5643756 30.0607974, 31.5652791 30.0596785, 31.566014 30.058808, 31.5665558 30.0580628, 31.5673014 30.0569368, 31.5680257 30.0557367, 31.5683914 30.0550701, 31.5690312 30.0537377, 31.5695448 30.0524533, 31.5702175 30.0503177, 31.5707471 30.0476703, 31.5709327 30.0448942, 31.5708859 30.0434335, 31.5707561 30.0419294, 31.5703446 30.0394184, 31.5647614 30.0397956, 31.563593 30.0397863, 31.5625308 30.0397073, 31.5604162 30.039424, 31.5562144 30.0387546, 31.5537429 30.0454572, 31.5527022 30.0476944, 31.5513772 30.0502204, 31.5504196 30.051987, 31.5582626 30.0567296, 31.5602928 30.0579328, 31.561237 30.0585503, 31.5621476 30.0592011, 31.5643756 30.0607974)))"
2,Second District,157.0,2.930068615775615,53.58236293672622,"MULTIPOLYGON (((31.5523562 30.0712643, 31.5555159 30.0686065, 31.5584421 30.0665174, 31.5625834 30.0644119, 31.5615427 30.0633395, 31.5643756 30.0607974, 31.5621476 30.0592011, 31.561237 30.0585503, 31.5602928 30.0579328, 31.5582626 30.0567296, 31.5504196 30.051987, 31.5483919 30.055212, 31.5457633 30.0588266, 31.5424829 30.0626082, 31.5387117 30.0663503, 31.5391838 30.0679055, 31.5399992 30.0692425, 31.5405785 30.0698205, 31.541697 30.0699876, 31.5469006 30.0707653, 31.5488586 30.0710508, 31.5508513 30.071492, 31.5519029 30.0717703, 31.5523562 30.0712643)))"
3,First District,228.0,1.5710697789532302,145.12404417320755,"MULTIPOLYGON (((31.5604582 30.0812574, 31.5479144 30.0784864, 31.5477995 30.0784379, 31.5477997 30.0783211, 31.548019 30.0776892, 31.5483516 30.0769395, 31.5491322 30.0756373, 31.5496686 30.0748528, 31.550594 30.0737155, 31.5514952 30.0727011, 31.5524071 30.0717564, 31.5533432 30.0709881, 31.5548587 30.0699064, 31.5563446 30.0689501, 31.5581524 30.0679519, 31.5593326 30.0673809, 31.5602392 30.0669352, 31.5609419 30.0666148, 31.5618592 30.0662527, 31.5631843 30.0657374, 31.5636644 30.0665545, 31.5638226 30.0668841, 31.5638897 30.067165, 31.5639192 30.0675155, 31.5638682 30.0679937, 31.5637797 30.0685137, 31.5624547 30.0758857, 31.5616232 30.0807181, 31.5615106 30.0808759, 31.561237 30.0810616, 31.5610278 30.081173, 31.5606576 30.0812333, 31.5604582 30.0812574)))"
4,Eighth District,143.0,1.3729009770934768,104.15900519113954,"MULTIPOLYGON (((31.5737999 30.0343689, 31.5752596 30.0340974, 31.579417 30.0341252, 31.5830702 30.0339348, 31.5838695 30.0338605, 31.5876514 30.0332289, 31.5917766 30.0320632, 31.5906393 30.0288633, 31.5903336 30.0281063, 31.5898722 30.0272842, 31.5893841 30.0265783, 31.5887618 30.0256679, 31.5881449 30.0254822, 31.5872759 30.0255797, 31.5859991 30.0261556, 31.5843335 30.0266781, 31.5835181 30.0268453, 31.5827832 30.0269475, 31.5815413 30.0270241, 31.5798891 30.0270195, 31.577298 30.0270404, 31.5735321 30.0270563, 31.572986 30.0272402, 31.5725721 30.0275994, 31.5723608 30.0280727, 31.5725291 30.0312458, 31.5726095 30.0322397, 31.572893 30.0336469, 31.5730233 30.0340225, 31.5733568 30.0342879, 31.5737999 30.0343689)))"
5,Sixth District,143.0,1.8190390362860327,78.61293636224865,"MULTIPOLYGON (((31.5707213 30.0367956, 31.5716708 30.0355928, 31.5721589 30.0352073, 31.5724915 30.0349426, 31.5726632 30.0346593, 31.5726954 30.0344921, 31.5722072 30.0322583, 31.5718318 30.0273778, 31.5717656 30.0272388, 31.5716349 30.0271398, 31.571467 30.0271016, 31.5703495 30.0271066, 31.5587067 30.0271296, 31.558479 30.0272726, 31.5583372 30.0274829, 31.558305 30.0277248, 31.5577501 30.0332429, 31.5565596 30.0383607, 31.556577 30.0384402, 31.5566304 30.0385065, 31.5567106 30.0385481, 31.5618002 30.0392847, 31.563592 30.0394751, 31.5672076 30.0392987, 31.5699595 30.0391895, 31.57004 30.0391547, 31.5700883 30.039085, 31.5701795 30.0381656, 31.5703649 30.0374552, 31.5707213 30.0367956)))"
6,South Suez Area,23.0,0.7979494150023843,28.823882275709515,"MULTIPOLYGON (((31.5512469 30.0718872, 31.5513213 30.0719444, 31.5513427 30.0720285, 31.5513028 30.0721075, 31.5505189 30.0728961, 31.5498483 30.073676, 31.5490705 30.0746787, 31.5481961 30.0760946, 31.547842 30.0767584, 31.5473973 30.0777299, 31.5472428 30.0778525, 31.547065 30.0779486, 31.5468698 30.0780148, 31.5466639 30.078049, 31.5464543 30.0780499, 31.5450578 30.077832, 31.5448366 30.077831, 31.5446164 30.0778501, 31.5443998 30.077889, 31.5441891 30.0779474, 31.5431748 30.0782854, 31.5428871 30.0783873, 31.5425903 30.0784669, 31.5422865 30.0785236, 31.5419782 30.0785572, 31.5416676 30.0785671, 31.5397202 30.0784206, 31.5394906 30.0783333, 31.5393104 30.0781824, 31.5392022 30.0779866, 31.5391795 30.0777705, 31.539318 30.0758834, 31.5393823 30.0738849, 31.5393287 30.072079, 31.5392876 30.0711458, 31.5392901 30.0709388, 31.5393393 30.0707362, 31.5394334 30.0705458, 31.5395687 30.0703751, 31.5397407 30.0702315, 31.5400019 30.0701082, 31.540288 30.0700377, 31.5405851 30.0700233, 31.5408785 30.0700658, 31.5418553 30.0702082, 31.5463346 30.070872, 31.549397 30.0713715, 31.5498881 30.0714787, 31.5503727 30.071606, 31.5508498 30.0717532, 31.5512469 30.0718872)))"
7,Seventh District,93.0,2.027381963631015,45.8719677240485,"MULTIPOLYGON (((31.5932867 30.0490434, 31.593811 30.0486822, 31.5943708 30.0483555, 31.5951654 30.0479111, 31.5970234 30.046903, 31.5998021 30.0453814, 31.6002278 30.0451483, 31.6002538 30.0450816, 31.6002633 30.044971, 31.6002423 30.0448826, 31.600198 30.0448031, 31.5957838 30.0388343, 31.594196 30.0366748, 31.5937132 30.0359039, 31.5931284 30.0348033, 31.59271 30.0338002, 31.5924579 30.0330385, 31.5850979 30.0352909, 31.5838507 30.035681, 31.5822494 30.0362453, 31.5812704 30.036647, 31.5804818 30.0370417, 31.5799642 30.0373343, 31.5795135 30.0376245, 31.5790012 30.0379914, 31.5784836 30.0383954, 31.577915 30.038883, 31.5771759 30.0396733, 31.5788377 30.0406129, 31.5819437 30.0424124, 31.5881046 30.0459879, 31.5932867 30.0490434)))"
8,City Gate Compound,174.0,8.256310565164465,21.074788627035364,"MULTIPOLYGON (((31.5523127 30.0028191, 31.552248 30.0028628, 31.5521879 30.0029112, 31.5521329 30.0029639, 31.5520834 30.0030205, 31.5520397 30.0030806, 31.5520022 30.0031437, 31.5519712 30.0032095, 31.5519468 30.0032773, 31.5519293 30.0033467, 31.5519188 30.0034171, 31.5519153 30.0034881, 31.551919 30.003559, 31.5519298 30.0036295, 31.5519475 30.0036988, 31.5519721 30.0037665, 31.5520034 30.0038322, 31.5528676 30.0054257, 31.5531572 30.0060281, 31.553441 30.0066333, 31.5537189 30.0072412, 31.5539911 30.0078516, 31.5542574 30.0084647, 31.5545179 30.0090803, 31.5547724 30.0096983, 31.5549968 30.0102801, 31.5552146 30.0108645, 31.5554257 30.0114513, 31.5556302 30.0120405, 31.555828 30.0126319, 31.5560191 30.0132255, 31.5562034 30.0138213, 31.556381 30.0144191, 31.5565655 30.0150879, 31.5567441 30.0157583, 31.5569168 30.0164302, 31.5570836 30.0171036, 31.5572445 30.0177784, 31.5575148 30.0189395, 31.5575981 30.0189455, 31.5576219 30.0190347, 31.5575505 30.0190763, 31.5576617 30.0196379, 31.5577659 30.0202007, 31.557863 30.0207649, 31.5579531 30.0213302, 31.5580362 30.0218965, 31.5581121 30.0224639, 31.558181 30.0230322, 31.5582025 30.0233547, 31.558216 30.0233758, 31.558373 30.0250912, 31.5583748 30.0260842, 31.5583935 30.0261404, 31.5584202 30.0261887, 31.5584648 30.0262559, 31.5585182 30.0263071, 31.5585759 30.0263532, 31.5586375 30.026394, 31.5587025 30.0264292, 31.5587704 30.0264584, 31.5588406 30.0264814, 31.5589127 30.026498, 31.5589859 30.0265082, 31.5590597 30.0265117, 31.5592143 30.0265054, 31.5594835 30.0265032, 31.5596121 30.0264806, 31.5597397 30.026453, 31.5599092 30.0264218, 31.5599855 30.026409, 31.5600623 30.0264009, 31.5603066 30.0263947, 31.5605509 30.0263939, 31.5611124 30.0264028, 31.5614297 30.0264028, 31.561747 30.0263985, 31.5638861 30.0263961, 31.5656707 30.0263842, 31.566268 30.0263747, 31.5662941 30.0263366, 31.5663774 30.0263342, 31.566425 30.0263866, 31.5676457 30.0263747, 31.5687711 30.0263792, 31.5687711 30.0263557, 31.5714242 30.0263509, 31.573288 30.0263418, 31.5733191 30.0262742, 31.5734024 30.0262742, 31.5734292 30.0263397, 31.5783933 30.0263278, 31.581638 30.0263068, 31.5819023 30.0262981, 31.5821664 30.0262837, 31.58243 30.0262637, 31.5826932 30.0262381, 31.5829558 30.0262069, 31.5832177 30.0261701, 31.5834952 30.026121, 31.5837715 30.0260655, 31.5840465 30.0260036, 31.58432 30.0259353, 31.5845918 30.0258608, 31.5848446 30.0257814, 31.5850954 30.0256962, 31.5853443 30.0256053, 31.585591 30.0255088, 31.5858354 30.0254066, 31.5860774 30.0252989, 31.5863169 30.0251856, 31.5867455 30.0249616, 31.5871715 30.024733, 31.5875951 30.0244998, 31.5880162 30.024262, 31.5888213 30.0237936, 31.5888005 30.0237193, 31.5888719 30.0236806, 31.5889492 30.0237282, 31.590829 30.0226842, 31.5930603 30.0214772, 31.5931973 30.0214319, 31.5933995 30.0213764, 31.5935217 30.0213302, 31.5935802 30.0213012, 31.5940152 30.021085, 31.5940302 30.0210655, 31.5940393 30.0210299, 31.5940355 30.0210056, 31.5940242 30.0209838, 31.5937659 30.0207279, 31.5934599 30.0204723, 31.593192 30.0202264, 31.5929194 30.0199857, 31.5926423 30.0197503, 31.5923607 30.0195203, 31.5920747 30.0192957, 31.5905471 30.0182086, 31.5905084 30.0182264, 31.5904073 30.018164, 31.5903924 30.0181015, 31.5886941 30.0168389, 31.5870849 30.0156938, 31.5853027 30.0144483, 31.584104 30.0135947, 31.5837774 30.0133554, 31.5834542 30.0131114, 31.5831347 30.0128627, 31.5828189 30.0126094, 31.5825068 30.0123514, 31.5821698 30.012051, 31.5818368 30.0117461, 31.5815079 30.0114367, 31.5811832 30.011123, 31.5809687 30.0109009, 31.580758 30.0106751, 31.5805514 30.0104456, 31.5803487 30.0102126, 31.5801502 30.0099761, 31.5799558 30.0097361, 31.5797657 30.0094928, 31.5790627 30.0085113, 31.5789484 30.0085042, 31.5788913 30.0084328, 31.578927 30.00834, 31.574124 30.0017804, 31.5736666 30.0011185, 31.5736166 30.0011292, 31.5735416 30.0010364, 31.5735523 30.0009793, 31.5731919 30.0004526, 31.5728197 29.9999366, 31.5724518 29.9994175, 31.5720884 29.9988953, 31.5717294 29.9984299, 31.5713756 29.9979606, 31.5710272 29.9974872, 31.570652 29.99701, 31.5703145 29.9965289, 31.5684781 29.9940155, 31.5683952 29.9940051, 31.5683118 29.994001, 31.5682283 29.9940034, 31.5681452 29.9940122, 31.5680631 29.9940273, 31.5679823 29.9940487, 31.5679035 29.9940762, 31.5677389 29.9941505, 31.5676595 29.9941936, 31.567463 29.994313, 31.5671479 29.9944872, 31.5670806 29.994532, 31.5670168 29.9945815, 31.5669566 29.9946355, 31.5668489 29.9947496, 31.5667931 29.9948015, 31.5667335 29.9948489, 31.5666705 29.9948915, 31.5638578 29.9964325, 31.561984 29.9974747, 31.5611702 29.9979387, 31.5611559 29.9980101, 31.5610631 29.9980565, 31.5609882 29.9980315, 31.5565766 30.0005014, 31.55391 30.0019963, 31.5538355 30.0020424, 31.5537579 30.002083, 31.5536776 30.0021178, 31.553595 30.0021469, 31.5535105 30.0021698, 31.5534245 30.0021866, 31.5533376 30.0022132, 31.5532528 30.0022459, 31.5531706 30.0022847, 31.5523127 30.0028191)))"
9,North Beit Al-Watan,13.0,1.016502693097829,12.788947917473811,"MULTIPOLYGON (((31.5469676 30.0799475, 31.5461093 30.0827257, 31.54531 30.0852067, 31.5485287 30.0863648, 31.5544698 30.0884907, 31.5576053 30.0896116, 31.5587211 30.0889432, 31.5588753 30.0888226, 31.5589316 30.0887228, 31.5589839 30.088609, 31.5590067 30.0884918, 31.5594184 30.0862418, 31.5601185 30.0816859, 31.5553254 30.0810314, 31.5529597 30.0807134, 31.551109 30.0804581, 31.5475765 30.0799614, 31.5473592 30.0799405, 31.5469676 30.0799475)))"
10,Third District,49.0,2.1627353136172,22.65649415880066,"MULTIPOLYGON (((31.5667606 30.0634919, 31.5675502 30.063002, 31.5684673 30.0623528, 31.5692592 30.0617226, 31.5700275 30.0610605, 31.5707347 30.0603524, 31.5713887 30.0596082, 31.5720086 30.0588188, 31.5725037 30.0580938, 31.5730516 30.0572133, 31.5734895 30.0563614, 31.5738855 30.0554415, 31.5749055 30.0557482, 31.5768367 30.0563264, 31.5795806 30.0571528, 31.5802404 30.0573594, 31.5806347 30.0575079, 31.5821957 30.0581, 31.5875065 30.060115, 31.5868091 30.0615357, 31.5866812 30.0618541, 31.5851891 30.0646742, 31.5834618 30.0681933, 31.5814126 30.0722694, 31.5708123 30.0682074, 31.5703362 30.0680238, 31.5698343 30.067798, 31.5693337 30.0674959, 31.5689843 30.0672368, 31.5685952 30.0668736, 31.5682298 30.0664361, 31.5679688 30.0659662, 31.5677535 30.0654452, 31.5675548 30.0649277, 31.5673309 30.064444, 31.5670532 30.063966, 31.5667606 30.0634919)))"
11,Swan Lake Residences,1063.0,5.128964052626813,207.2543283775954,"MULTIPOLYGON (((31.45220013626883 30.08008174757483, 31.452554231588138 30.077545926510506, 31.452590862138404 30.07558062047683, 31.451760569665577 30.074566253700795, 31.462346798694256 30.070033175098537, 31.462212486676584 30.06934632689159, 31.47373889982891 30.07012827678224, 31.481590047770606 30.075982137785996, 31.49216406661586 30.077292340828944, 31.49978322107248 30.075517222858007, 31.502469461425775 30.08339934864106, 31.48940456516201 30.085026411678022, 31.454312498001194 30.081222845846245, 31.45220013626883 30.08008174757483)))"
12,Rehab City,5610.0,5.777706767011777,970.9734720409643,"MULTIPOLYGON (((31.501670820721476 30.074261070599213, 31.499167899332967 30.067485241192138, 31.49901815189947 30.063189939682655, 31.499574356652474 30.06154212368724, 31.501414110835473 30.059598035838935, 31.498761442013475 30.05333966524152, 31.485968732694477 30.053413731111807, 31.481305169765474 30.054580261261588, 31.475700337254473 30.054765423513654, 31.475037170048967 30.055283875977462, 31.47486603012498 30.070577002325738, 31.482139476894975 30.075871650320124, 31.492001415015476 30.07696386762577, 31.500579803705964 30.07505710753116, 31.501670820721476 30.074261070599213)))"
13,El Banafseg,1868.0,2.0401974212113543,915.5976674506759,"MULTIPOLYGON (((31.474331217862478 30.069854982921278, 31.474331217862478 30.05495058541949, 31.470737279458486 30.054024772427933, 31.46898309523748 30.054432131210636, 31.46761397584548 30.054376582384403, 31.466180678981974 30.05365444480766, 31.462094713296484 30.053376698183573, 31.461838003410488 30.05361741196945, 31.46185939590098 30.06913295824889, 31.467058146609904 30.069127589381797, 31.474331217862478 30.069854982921278)))"
14,North Investors Area,5166.0,5.4276102696058715,951.8001004842102,"MULTIPOLYGON (((31.475101347520514 30.054047917858227, 31.47585008468801 30.05445527654573, 31.48109124486051 30.054196048483945, 31.48554088288451 30.053103579910253, 31.498868404466005 30.052936931102263, 31.495253073571504 30.045585588000407, 31.495167503609512 30.029677414034605, 31.493798384217513 30.028973617434094, 31.476149579555013 30.028936575369315, 31.475101347520514 30.02934403732045, 31.475101347520514 30.054047917858227)))"
15,El-Banafseg,3222.0,3.4180387242377197,942.6458445752572,"MULTIPOLYGON (((31.459891286775022 30.031353541079, 31.459869894284523 30.03570578280773, 31.46016938915151 30.037455885703693, 31.461527812298268 30.04187267461213, 31.46173104095803 30.05214997460881, 31.462062624560776 30.052862864875348, 31.46636251515127 30.05329800316513, 31.467432139676273 30.052668440766155, 31.468769170332525 30.05275176543112, 31.469549996235774 30.053547975360505, 31.474042419240774 30.054260855563, 31.474598623993774 30.053881270639444, 31.474673497710523 30.02938107923293, 31.473732228128522 30.02883470961983, 31.470512658308266 30.02877914643962, 31.468212965579518 30.03023303939987, 31.467079163583023 30.030538632023166, 31.460875341338028 30.030890525391932, 31.459891286775022 30.031353541079)))"
16,El-Yasmeen,4008.0,4.6019492599585305,870.935287112687,"MULTIPOLYGON (((31.44349394280678 30.027343753489433, 31.440445512910518 30.02927921394026, 31.439568420800022 30.03081644268129, 31.43964329451677 30.03816888172573, 31.440531082872525 30.04067821653218, 31.44094823643726 30.042178231342714, 31.44253128073428 30.046085570692757, 31.442295963338776 30.05097415737236, 31.442905649318025 30.051566696937254, 31.45987982973752 30.05261623760898, 31.461239013676522 30.052603632644935, 31.461110658733517 30.042233787010662, 31.460725593904524 30.04148378286482, 31.460714897659276 30.03974301061997, 31.459335082022026 30.036566948412844, 31.459431348229273 30.03152022619687, 31.458725396042777 30.030862744381942, 31.451794229120775 30.03082570302316, 31.450350236012024 30.03106647160784, 31.44743016105878 30.0307794013052, 31.44349394280678 30.027343753489433)))"
17,Al-Narges,5740.0,6.69144625652124,857.8115671789196,"MULTIPOLYGON (((31.445932686723825 29.99983575841659, 31.445761546799826 30.015739459005385, 31.456126208447067 30.024972994459453, 31.474053115486058 30.02527860329881, 31.474063811731316 30.01196059277135, 31.472865832263306 30.009746925339208, 31.469763921140814 30.006875567630612, 31.46842689048456 30.00519902679975, 31.467966951938813 29.99946522830718, 31.446884652551073 29.999307752591765, 31.445932686723825 29.99983575841659)))"
18,Middle Lotus,2592.0,6.335566832012877,409.118878977478,"MULTIPOLYGON (((31.475192265605205 30.025227668557687, 31.475192265605205 30.028117016145245, 31.494787786903206 30.028580044788217, 31.498873752588704 30.0290430712683, 31.507708851165198 30.03276572556541, 31.515944960007705 30.03730310017443, 31.523090051834696 30.042210638819558, 31.5263417103907 30.03739569749307, 31.5281386795927 30.031247047662607, 31.52828842702619 30.02515358161478, 31.526983485105703 30.018355869037254, 31.522897519420205 30.011928175403895, 31.521036372746693 30.0111872041158, 31.513976850881704 30.01659616723601, 31.506575049168703 30.020763831427423, 31.500582162624355 30.02413806243114, 31.496156906295205 30.02530175544524, 31.475192265605205 30.025227668557687)))"
19,El-Koronfel,2624.0,3.799398263578221,690.6356791163959,"MULTIPOLYGON (((31.512169185434455 30.05050660411966, 31.521260993896952 30.069882752995905, 31.530384891095206 30.065041385603944, 31.536866815716696 30.060023886918884, 31.53224603776869 30.05258048687719, 31.5312619832057 30.0521731204774, 31.5315186930917 30.050988045059096, 31.523945751454697 30.04380322175864, 31.512169185434455 30.05050660411966)))"
20,Gardenia Heights,2265.0,2.9678606486400496,763.1759938047904,"MULTIPOLYGON (((31.4687293 29.9967725, 31.4687284 29.9972064, 31.4687415 29.9978979, 31.4687658 29.9981538, 31.4688187 29.9993646, 31.4795473 29.9993023, 31.4804895 29.9993308, 31.4807795 29.9991378, 31.4807365 29.9990913, 31.4806982 29.9990409, 31.480665 29.9989871, 31.4806372 29.9989303, 31.480615 29.998871, 31.4805986 29.9988099, 31.4805882 29.9987475, 31.480584 29.9986844, 31.4805291 29.9891876, 31.4805231 29.9881397, 31.4804853 29.9815867, 31.4804825 29.9811041, 31.4804583 29.9766838, 31.4804731 29.97654, 31.4804869 29.9764689, 31.4805072 29.9763909, 31.4805327 29.9763144, 31.4805632 29.9762398, 31.4805986 29.9761673, 31.4806388 29.9760974, 31.4806835 29.9760303, 31.480735 29.9759776, 31.4807651 29.9759378, 31.480791 29.9758952, 31.4808286 29.975805, 31.4808476 29.9757092, 31.4808371 29.9756534, 31.4808203 29.9755993, 31.4807973 29.9755474, 31.4807685 29.9754985, 31.4807342 29.9754533, 31.480695 29.9754123, 31.4806498 29.975375, 31.4806004 29.9753433, 31.4805477 29.9753178, 31.4804923 29.9752987, 31.480435 29.9752863, 31.4803766 29.9752808, 31.4803181 29.9752824, 31.4802601 29.9752909, 31.4802035 29.9753062, 31.4801492 29.9753281, 31.4800978 29.9753564, 31.4800502 29.9753906, 31.4799671 29.9754336, 31.4798816 29.9754718, 31.4797941 29.975505, 31.4797049 29.9755332, 31.4796142 29.9755563, 31.4795223 29.9755742, 31.4793903 29.9755906, 31.4726077 29.9756934, 31.4724327 29.9757024, 31.4722582 29.9757182, 31.4720845 29.9757409, 31.4719118 29.9757704, 31.4717404 29.9758067, 31.4715705 29.9758497, 31.4714025 29.9758993, 31.4712366 29.9759556, 31.4710767 29.9760168, 31.4709193 29.9760841, 31.4707646 29.9761574, 31.4706129 29.9762366, 31.4704643 29.9763215, 31.4703191 29.9764122, 31.4701774 29.9765083, 31.4700396 29.9766098, 31.4699058 29.9767166, 31.4697762 29.9768284, 31.469651 29.9769451, 31.4695303 29.9770665, 31.4694145 29.9771925, 31.4693187 29.9773179, 31.4692282 29.9774471, 31.4691432 29.97758, 31.4690639 29.9777164, 31.4689903 29.9778559, 31.4689226 29.9779984, 31.468861 29.9781436, 31.4688054 29.9782913, 31.4687561 29.9784411, 31.4687131 29.9785929, 31.4686765 29.9787464, 31.4686464 29.9789012, 31.4686227 29.9790572, 31.4686056 29.979214, 31.4685951 29.9793714, 31.4685268 29.9794687, 31.4686935 29.98458, 31.4687081 29.9855756, 31.4686977 29.9881347, 31.4687009 29.98911, 31.468717 29.9903168, 31.4687145 29.9908198, 31.4687465 29.9943023, 31.4687293 29.9967725)))"
21,El-Andalos,5314.0,8.264628943193003,642.9810747131933,"MULTIPOLYGON (((31.50064932930023 30.00112797134766, 31.50811530848473 30.001980174252008, 31.511602284436233 30.00338814562441, 31.522041819800222 30.009890491043127, 31.529400836532226 30.003054680525914, 31.529122734155724 30.001535547562835, 31.531689833015726 30.00060923556181, 31.53675985326423 29.991401224165827, 31.535433518853235 29.989881912827634, 31.520330420560235 29.980765556554463, 31.515731035102732 29.979394324871862, 31.499793629680237 29.9784492758006, 31.50064932930023 30.00112797134766)))"
